skill,category
python,Technical Skills
java,Technical Skills
javascript,Technical Skills
typescript,Technical Skills
c++,Technical Skills
c#,Technical Skills
rust,Technical Skills
go,Technical Skills
ruby,Technical Skills
php,Technical Skills
html,Technical Skills
css,Technical Skills
sql,Technical Skills
nosql,Technical Skills
machine learning,Technical Skills
deep learning,Technical Skills
artificial intelligence,Technical Skills
natural language processing,Technical Skills
nlp,Technical Skills
computer vision,Technical Skills
data science,Technical Skills
data analysis,Technical Skills
statistics,Technical Skills
linear algebra,Technical Skills
regression,Technical Skills
classification,Technical Skills
clustering,Technical Skills
neural networks,Technical Skills
algorithms,Technical Skills
data structures,Technical Skills
software engineering,Technical Skills
oop,Technical Skills
system design,Technical Skills
rest api,Technical Skills
graphql,Technical Skills
microservices,Technical Skills
devops,Technical Skills
ci/cd,Technical Skills
cloud computing,Technical Skills
database administration,Technical Skills
agile,Technical Skills
scrum,Technical Skills
project management,Technical Skills
product management,Technical Skills
ui/ux,Technical Skills
web development,Technical Skills
mobile development,Technical Skills
ios development,Technical Skills
android development,Technical Skills
cybersecurity,Technical Skills
networking,Technical Skills
cryptography,Technical Skills
communication,Soft Skills
leadership,Soft Skills
teamwork,Soft Skills
collaboration,Soft Skills
problem solving,Soft Skills
critical thinking,Soft Skills
time management,Soft Skills
adaptability,Soft Skills
creativity,Soft Skills
negotiation,Soft Skills
presentation,Soft Skills
public speaking,Soft Skills
active listening,Soft Skills
conflict resolution,Soft Skills
emotional intelligence,Soft Skills
decision making,Soft Skills
organization,Soft Skills
attention to detail,Soft Skills
work ethic,Soft Skills
interpersonal skills,Soft Skills
git,Tools & Technologies
docker,Tools & Technologies
kubernetes,Tools & Technologies
aws,Tools & Technologies
amazon web services,Tools & Technologies
azure,Tools & Technologies
gcp,Tools & Technologies
google cloud platform,Tools & Technologies
jenkins,Tools & Technologies
terraform,Tools & Technologies
ansible,Tools & Technologies
linux,Tools & Technologies
bash,Tools & Technologies
vs code,Tools & Technologies
github,Tools & Technologies
gitlab,Tools & Technologies
jira,Tools & Technologies
confluence,Tools & Technologies
tableau,Tools & Technologies
power bi,Tools & Technologies
powerbi,Tools & Technologies
excel,Tools & Technologies
pandas,Tools & Technologies
numpy,Tools & Technologies
scikit-learn,Tools & Technologies
sklearn,Tools & Technologies
tensorflow,Tools & Technologies
keras,Tools & Technologies
pytorch,Tools & Technologies
spacy,Tools & Technologies
nltk,Tools & Technologies
flask,Tools & Technologies
fastapi,Tools & Technologies
django,Tools & Technologies
react,Tools & Technologies
angular,Tools & Technologies
vue,Tools & Technologies
node.js,Tools & Technologies
spring boot,Tools & Technologies
postgresql,Tools & Technologies
mysql,Tools & Technologies
mongodb,Tools & Technologies
redis,Tools & Technologies
sqlite,Tools & Technologies
airflow,Tools & Technologies
spark,Tools & Technologies
hadoop,Tools & Technologies
kafka,Tools & Technologies
streamlit,Tools & Technologies
jupyter,Tools & Technologies
anaconda,Tools & Technologies
